Designator,Quantity,Value,Footprint,LCSC Part #
"C1, C3, C6, ",3,10u,0603, C19702 
"C2, ",1,0.1u,0603,C14663
"C4, C10, C11, C12, C14, ",5,100n,0603,C14663
"C5, ",1,3.3n,0603,C1613
"C7, ",1,4.7u,0603,C29823
"C8, ",1,22u,0603,C59461
"C13, C15, ",2,10n,0603,C1710
"C16, ",1,100n,0402,C1525
"C17, ",1,10u,0402,C15525 
"D1, D2, ",2,RED,0603,C2286
"F1, ",1,1A,1205,C354894
"J2, ",1,USB_B_Mini,Connector_USB:USB_Mini-B_Wuerth_65100516121_Horizontal,C2681563 
"L1, ",1,2.2u,Inductor_SMD:L_1210_3225Metric,C250183
"Q1, ",1,AO3401A,Package_TO_SOT_SMD:SOT-23,C15127 
"Q2, Q3, ",2,BC847,Package_TO_SOT_SMD:SOT-23,C8664
"R1, R7, R8, R12, ",4,10k,0603,C25197
"R2, R3, ",2,470,0603,C23182 
"R4, R5, ",2,220,0603,C22962
"R6, ",1,100k,0603,C25803
"R9, R10, R11, ",3,1M,0603,C22935
"R13, ",1,100,0603,C22859
"R14, ",1,82k,0603,C1631
"R15, ",1,27k,0603,C22967
"SW1, ",1,SW_Push,Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm,C720477 
"U1, ",1,ESP32-WROOM-32D,RF_Module:ESP32-WROOM-32,C473012 
"U2, ",1,TPS62132,Package_DFN_QFN:VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm_ThermalVias,C81563
"U3, ",1,CP2104,Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,C47742
"U4, ",1,USBLC6-2SC6,Package_TO_SOT_SMD:SOT-23-6,C7519
"U5, ",1,AD8495,Package_SO:MSOP-8_3x3mm_P0.65mm,C578736
